,TITLE,PRICE,LOCATION,ROOM,AREA
135,"SUADİYE KAZIM ÖZALP SOKAKTA, SAHİLE 100 METRE SATILIK 3+1 ARAKAT",12000000,"19 Mayıs, Kadıköy",1+1,180 m²
136,,5975000,"Suadiye, Kadıköy",2+1,95 m²
137,,13950000,"Zühtüpaşa, Kadıköy",,212 m²
138,,3750000,"Caferağa, Kadıköy",2+1,100 m²
139,ALKAYA- SUADİYE ŞAŞKINDA SATILIK 105M² NET 3+1 BALKONLU DAİRE,21500000,"Caddebostan, Kadıköy",4+2,300 m²
140,FOUR WINDS DAİRELERİ SİZİNLE - KADIKÖY - CADDEBOSTAN - MUHTEŞEM,8975000,"Suadiye, Kadıköy",3+1,130 m²
141,ERENKÖY İSTASYON CAD.SATILIK 3+1 98 M2 NET LÜKS DAİRELER,7395000,"Erenköy, Kadıköy",3+1,165 m²
142,,6650000,"Göztepe, Kadıköy",3+1,150 m²
143,MERDİVENKÖY DE SATILIK ARA KAT DAİRE!!,4200000,"Koşuyolu, Kadıköy",,125 m²
144,Caddebostan Plaj yolu sahilde kaçırılmayacak fırsat Daire,7000000,"Caferağa, Kadıköy",3+1,140 m²
145,KADIKÖY ÇARŞI İÇİNDE OFİS KATI,5250000,"Göztepe, Kadıköy",1+1,117 m²
146,İst. Kozyatağı Ana Arter'de YATIRIMCI' ya SATILIK KUPON BİNA,6280000,"Bostancı, Kadıköy",3+1,190 m²
147,KADIKÖY'DE SATILIK KOMPLE BİNA,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
148,YATIRIMLIK KOMPLE SATILIK BİNA,240000000,"Kozyatağı, Kadıköy",,4172 m²
149,ACIBADEM İŞBANKASI BLOKLARINDA cad.üzeri 1+1 79m²ŞAHANE KONUM,9950000,"Bostancı, Kadıköy",4+1,160 m²
150,GÖZTEPE PARK APARTMANINDA 180 M2 SATILIK DAİRE P100852,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
151,,13200000,"Suadiye, Kadıköy",4+2,230 m²
152,ANA CADDE ÜZERİNDE BANKA KİRACILI 300 M2 DÜKKAN,10300000,"Suadiye, Kadıköy",4+1,165 m²
153,BAĞDAT CADDESİ ÜZERİNDE KİRACILI 117 M2 DÜKKAN,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
154,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE KİRACILI 135 M2 DÜKKAN,10300000,"Suadiye, Kadıköy",4+1,165 m²
155,KADIKÖY BAHARİYE CADDESİ GİRİŞİNDE 40 M2 DÜKKAN,290000000,"Fenerbahçe, Kadıköy",,2987 m²
156,ŞAŞKINBAKKAL BAĞDAT CADDESİNDE 48 M2 MAĞAZA,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
157,ANA CADDE ÜZERİNDE 300 M2 DÜKKAN,5975000,"Suadiye, Kadıköy",2+1,95 m²
158,CADDEBOSTAN BAĞDAT CADDESİ ÜZERİNDE 60 M2 DÜKKAN,13950000,"Zühtüpaşa, Kadıköy",,212 m²
159,ANA CADDE ÜZERİNDE KİRACILI 145 M2 DÜKKAN,3750000,"Caferağa, Kadıköy",2+1,100 m²
160,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
161,,8975000,"Suadiye, Kadıköy",3+1,130 m²
162,,7395000,"Erenköy, Kadıköy",3+1,165 m²
163,ACIBADEM CAD.1.PARALEL 2.BİNA TUR SK 2+185m²ARAKAT GÜNEY DAİRE,6650000,"Göztepe, Kadıköy",3+1,150 m²
164,AKAY DAN ACIBADEM CAD.100mMESAFEDE YAPILI 2+1 75m²Y.GİRİŞ DAİRE,4200000,"Koşuyolu, Kadıköy",,125 m²
165,KADIKÖY ÇARŞI İÇİNDE OFİS KATI,7000000,"Caferağa, Kadıköy",3+1,140 m²
166,ELYSİUM ELİT KOŞUYOLU'NDA 1+1 SÜPER LÜKS SATILIK RESİDENCE,5250000,"Göztepe, Kadıköy",1+1,117 m²
167,Kadıköy'ün Merkezinde Satılık Büro,6280000,"Bostancı, Kadıköy",3+1,190 m²
168,KDV AVANTAJLI KOZYATAĞI ELİT SİTEDE HAVUZLU KATTA 5+1 GÜVENLİKLİ,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
169,Hasanpaşa'da Kadıköy Merkeze Yakın 2+1 Satılık Daire,240000000,"Kozyatağı, Kadıköy",,4172 m²
170,Feneryolu Kamelya Marmaray İstasyonuna Yakın Balkonlu Yenilenmiş,9950000,"Bostancı, Kadıköy",4+1,160 m²
171,Kızıltoprakta Katta Tek 4+1 Kobili Daire,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
172,Caddebostan Sahil Göztepe Parkına Plaj Yoluna Yakın 3+1,13200000,"Suadiye, Kadıköy",4+2,230 m²
173,Fenerbahçe Ordu Evine 4. Bina Balkonlu Prestijli Bina,10300000,"Suadiye, Kadıköy",4+1,165 m²
174,Feneryolu Kombili Balkonlu 3+1 Satılık Daire,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
175,Kadiköy Bağdad Caddesin'de1+1 Lüks daire فروشی لاکچری جاده بغداد,10300000,"Suadiye, Kadıköy",4+1,165 m²
176,ACIBADEM DÖRTYOLDA MARMARAYIN YANINDA 2+1 85m²GİRİŞKAT DAİRE,290000000,"Fenerbahçe, Kadıköy",,2987 m²
177,ACIBADEM CAD.1.PARALEL 2.BİNA TUR SK 2+185m²ARAKAT GÜNEY DAİRE,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
178,,5975000,"Suadiye, Kadıköy",2+1,95 m²
179,Kadıköy Söğütlüçeşme Yakın Katta Tek İş Hanında Ofis,13950000,"Zühtüpaşa, Kadıköy",,212 m²
180,SATILIK HASTANE,3750000,"Caferağa, Kadıköy",2+1,100 m²
181,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
182,,8975000,"Suadiye, Kadıköy",3+1,130 m²
183,Bağdat Caddesi'ne yürüme mesafesinde sıfır binada 3+1 satılık,7395000,"Erenköy, Kadıköy",3+1,165 m²
184,"Fenerbahçe Dalyan, Deniz Manzaralı,180 m2, 3+1",6650000,"Göztepe, Kadıköy",3+1,150 m²
185,CADDEBOSTAN SAHİL'DE DUBLEX DENİZ MANZARALI CENTURY 21 SAHRA'DAN,4200000,"Koşuyolu, Kadıköy",,125 m²
186,CENTURY 21.SAHRA'DAN BAĞDAT'A ÇOK YAKIN HAVUZLU 4+1 İÇİ YAPILI,7000000,"Caferağa, Kadıköy",3+1,140 m²
